"Ид","Название","Город","Место","Рейтинг","ТРК по БС"
"45556","Рабочее название","Санкт-Петербург","1","9990","8767"
"188","Команда Губанова","Санкт-Петербург","2","9511","8297"
"49804","Борский корабел","Москва","2,5","9145","Команда с динамическим БС"
"168","Сборная Кирибати","Санкт-Петербург","3","9089","7809"
"27177","Призраки Коши","Санкт-Петербург","4","9058","8480"
"46381","Разведка боём","Москва","5","8939","8443"
"37488","Эрудиты","Москва","6","8853","7542"
"57024","Вжух","Санкт-Петербург","7","8804","8459"
"3133","Механизм реакции","Москва","8","8770","8649"
"55","Мираж","Самара","9","8694","7516"
"414","Кошка или сова","Нижний Новгород","10","8585","7856"
"316","Минус один","Киев","11","8531","7539"
"1397","Ла Скала","Санкт-Петербург","12","8379","7306"
"57404","Невыносимая лёгкость","Киев","13","8376","8606"
"641","Братья","Тель-Авив","14","8346","8224"
"45367","Гвардия","Москва","15","8322","8296"
"4109","Первая сборная","Москва","16","8307","8543"
"6874","Церебрум","Москва","17","8229","8184"
"2","Афина","Москва","18","8227","8317"
"308","Номер 6","Донецк","19","8223","8070"
"27448","Keisecker","Киев","20","8184","7830"
"41366","Гидрою контры убит Чаушеску","Раменское","21","8170","8379"
"407","Тачанка","Ростов-на-Дону","22","8155","7821"
"3951","Eclipse","Санкт-Петербург","23","8108","7525"
"670","Ксеп","Москва","23,5","8098","Команда с динамическим БС"
"53714","Постмодернистское название","Санкт-Петербург","24","8043","8263"
"7718","Биркиркара","Москва","25","8040","7862"
"43790","Луна-Парк","Краснодар","26","8005","8101"
"48062","Уже да","Санкт-Петербург","27","7991","7630"
"62868","Gay Guerrilla","Москва","28","7872","7965"
"27522","Жареные гвозди","Киев","29","7835","7872"
"27129","Страпелька","Минск","30","7830","7640"
"6936","Хронически разумные United","Минск","31","7819","7677"
"7864","Одушевлённые аэросани","Минск","32","7805","8033"
"5455","Integro","Москва","33","7795","7972"
"47228","Челюсть питекантропа","Санкт-Петербург","34","7722","7541"
"2865","Немчиновка","Москва","35","7629","7802"
"51514","Язык Чау-Чау","Санкт-Петербург","36","7621","7987"
"42483","Пахом Пихай","Хельсинки","37","7610","6590"
"50186","Подозрительные пассажиры","Минск","38","7411","7982"
"27269","Анабасис-вектор","Санкт-Петербург","39","7399","7690"
"54613","Зненацька","Одесса","40","7396","7768"
"216","Инк","Пало-Альто","41","7394","7158"
"4622","Спонсора.net","Воронеж","42","7382","7250"
"4989","Штандарт","Витебск","43","7287","7443"
"4032","X-promt","Рига","44","7286","7415"
"2051","Напряжены у всех на глазах","Новосибирск","45","7238","7288"
"4075","Эволюция","Тель-Авив","46","7227","7347"
"40904","Кьяроскуро","Таллин","47","7217","7581"
"4405","Эдельвейс","Ростов-на-Дону","48","7211","7207"
"60039","Заговор лемуров","Саратов","49","7207","7064"
"26656","Ни стыда, ни совести","Краснодар","50","7201","7653"
"185","Гимназисты","Самара","51","7189","7163"
"3875","Сова при свете дня","Ивантеевка","52","7181","6705"
"51739","Зоопарк","Минск","53","7157","7452"
"67678","Котобусер Тор","Берлин","54","7157","7501"
"222","Химера","Зеленоград","55","7139","7145"
"44012","Зигзаг","Москва","56","7112","7403"
"47248","Мадагаскар и другие пингвины","Харьков","57","7104","7236"
"26955","Сливки - Форс-Мажор","Харьков","58","7095","6985"
